,Tweet,Sentiment
153,"""Kepala LKPP juga menyampaikan pentingnya keterbukaan informasi dalam sektor PBJP.""",Positif
154,"""Kepala LKPP Hendrar Prihadi mengucapkan terima kasih kepada Komisi Informasi Pusat atas apresiasinya terhadap keterbukaan informasi yang dijalankan oleh LKPP",Positif
155,"""serta sebagai komitmen yang sangat konkrit dari visi misi pemerintahan dalam mewujudkan tata kelola pemerintahan yang baik.""",Positif
156,"""Penganugerahan tersebut merupakan apresiasi atas komitmen LKPP sebagai badan publik dalam menjalankan keterbukaan informasi publik sesuai dengan amanah UU Nomor 14 Tahun 2008 tentang Keterbukaan informasi Publik,""",Positif
157,"""Anugerah diterima langsung oleh Kepala LKPP Hendrar Prihadi pada Rabu (14/12) setelah melalui rangkaian tahapan pelaksanaan monitoring dan evaluasi informasi publik yang berlangsung sejak Agustus hingga Desember 2022.""",Positif
158,"""Tangerang - LKPP meraih peringkat klasifikasi Badan Publik Informatif dalam Penganugerahan Keterbukaan Informasi Badan Publik Tahun 2022 yang diselenggarakan Komisi Informasi Pusat (KIP)",Positif
159,"""Sekda Alit Wiradana Hadiri Launching dan Capacity Building LKPP RI https://t.co/gU4QlZT3Jp via @balinetizencom""",Netral
160,"""Sekda Alit Wiradana Hadiri Launching dan Capacity Building LKPP RI, Harapkan Denpasar Jadi Role Model MDP#BaliPortalNews #HadiriLaunchingdanCapacityBuilding #LKPPRI #SekdaAlitWiradana#BaliPortalNews #HadiriLaunchingdanCapacityBuilding #LKPPRIhttps://t.co/Zmw04bVZXV https://t.co/1LJOsWHMC1""",Netral
161,"""Pria yang akrab disapa Hendi menegaskan, bahwa salah satu targetnya dalam memimpin LKPP RI adalah untuk mendorong pembangunan yang ada daerah bisa dilaksanakan lebih cepat lagi",Positif
162,"""#LKPP RI Fokus Percepat Pembangunan Daerah Lewat KPBU #klikRMOLhttps://t.co/3mEZWu8hmO""",Netral
163,"""Adapun 2 Model Dokumen Pengadaan (MDP) yang diterbikan Hendi sebagai kepala LKPP RI sendiri adalah untuk penyediaan infrastruktur sektor alat penerangan jalan melalui Surat Edaran Kepala LKPP Nomor 14 Tahun 2022,""",Positif
164,"""Maka dari itu begitu memimpin LKPP RI, Hendi lantas mengungkapkan fokus untuk dapat menjawab keresahannya itu, yang kemudian dirinya menerbitkan dua Model Dokumen Pengadaan (MDP) sebagai panduan pemerintah daerah dalam menyusun dokumen KPBU.""",Positif
165,"""Good project @wizkhalifa @LKPP_RI @levarburton""",Netral
166,"""Ketua LKPP RI, Hendrar Prihadi beranjak pulang setelah menghadiri prosesi ngunduh mantu pada perkawinan Kaesang Pangarep dengan Erina Gudono",Netral
167,"""Dan kemudian selajutnya Pemprov Jatim juga menerima penghargaan LKPP RI untuk kategori lembaga, serta Pemkot Medan meraih penghargaan untuk kategori Pemerintah Kabupaten/Kota",Positif
168,"""Dan kemudian selajutnya Pemprov Jatim juga menerima penghargaan LKPP RI untuk kategori lembaga, serta Pemkot Medan meraih penghargaan untuk kategori Pemerintah Kabupaten/Kota",Positif
169,"""@DopeApes321 @xspectar @BCBacker @CombatKanga @jnflesch @LKPP_RI @gelig_john 🎉🔥""",Netral
170,"""This year, we saw 10 years of #anticorruption work led by @antikorupsi &amp; @LKPP_RI fully yield the intended outcomes in #Indonesia 🇮🇩 Public complaints driven by #opendata have led to convictions in at least 5 high-profile cases worth about US$18 million https://t.co/QG8NTa8YpH""",Positif
171,"""This year we saw 10 years of #anticorruption work led by @antikorupsi &amp; @LKPP_RI fully yield the intended outcomes in #Indonesia 🇮🇩 Public complaints driven by #opendata have led to convictions in at least 5 high-profile cases worth about US$18 million https://t.co/QG8NT9RVnH""",Positif
172,"""Mari bersama kita cegah dan berantas segala bentuk korupsi",Positif
173,"""Selamat Hari Anti Korupsi Sedunia Sobat Kredibel..LKPP siap sedia untuk turut serta dalam upaya memerangi korupsi, khususnya di bidang pengadaan barang/jasa melalui penyelenggaraan pemerintahan yang bersih bebas dari Korupsi, Kolusi, dan Nepotisme.#LKPP#Hakordia2022 https://t.co/fWUqXQK5py""",Positif
174,"""@LKPP_RI Penyebab utama, terbatasnya sdm utk memenuhi syarat sbg pjt, lebih2 di daerah.""",Netral
175,"""@LKPP_RI Sbg catatan, thn 2023 mungkin lebih 80% badan usaha jasa konstruksi tdk bisa menjalankan usahanya, oleh krn susahnya mendapatkan sbujk, ini akan berdampak pada penyerapan anggaran di daerah,""",Netral
176,"""@LKPP_RI ga bisa di klik link nya..",Netral
177,"""Nyirup Bareng akan dilakukan secara daring melalui zoom meeting.Yuk daftar sebelum tanggal 12 Desember 2022 pada link yang tersedia! Kuota Terbatas loh.#LKPP#ayosegeraisisirup #perencanaanbaik #pengadaanbaik""",Positif
178,"""Halo Sobat Kredibel.",Positif
179,"""@martinmooy @campingski @PNS_Ababil @LKPP_RI ada tanggapan??""",Netral
180,"""Buka Mentoring UKPBJ Provinsi Bengkulu Bersama Kepala LKPP RI, Gubernur Rohidin Tegaskan Ini https://t.co/w5NV2Q208Y""",Netral
181,"""inna lillahi wa inna ilayhi raji'unDuka Cita Mendalam dirasakan oleh seluruh keluarga besar @LKPP_RI atas gugurnya 1 orang personel Polri akibat serangan bom bunuh diri di Polsek Astana Anyar Polrestabes BandungSemoga mendapatkan tempat terbaik disisi Allah SWT — https://t.co/vi9sOGRD7f""",Positif
182,"""Dalam pertemuan tersebut, Hendi menegaskan jika LKPP RI memiliki komitmen yang tinggi dalam menggerakkan perekonomian melalui UMKM dan Koperasi",Netral
183,"""Hendi Dorong Sinergitas LKPP RI dan PBNUKepala LKPP RI yang merupakan kader PDI Perjuangan, Hendrar Prihadi (Hendi) melakukan lawatan ke kantor PBNU",Positif
184,"""Hal ini sebagai komitmen pemenuhan hak pengembangan kompetensi bagi ASN, mulai dari tahapan perencanaan kebutuhan pengembangan kompetensi, pelaksanaan pengembangan kompetensi, dan evaluasinya.#LKPP""",Netral
185,"""Penghargaan tersebut diperoleh LKPP setelah melalui langkah-langkah Pemantauan dan Evaluasi Tingkat Training Rate ASN yang diselenggarakan oleh LAN RI""",Positif
186,"""Penghargaan tersebut diberikan secara langsung oleh Kepala LAN RI Adi Suryanto kepada LKPP dalam acara Sosialisasi Dokumen Pengembangan Kompetensi ASN Nasional dan Penganugerahan Training Rate Award 2022 pada Rabu (7/12).""",Positif
187,"""Jakarta - Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah atau LKPP kembali torehkan prestasi",Positif
188,"""@hendrarprihadi @AzwarAnas_A3 @kempanrb @LKPP_RI Selamat pak Hendy...semoga tambah sukses""",Positif
189,"""@gibran_tweet cocok.",Netral
190,"""#LKPP RI Terima Penghargaan Inovasi Pelayanan Publik #klikRMOLhttps://t.co/HKXfCbIeMf""",Positif
191,"""Kepala LKPP RI, Hendrar Prihadi (Hendi) menerima langsung penghargaan tersebut dari Menteri Pendayagunaan Aparatur Negara dan Reformasi Birokrasi,""",Positif
192,"""Hendi Terima Penghargaan Inovasi Pelayanan Publik Untuk LKPP RILembaga Kebijakan Pengadaan Barang/Jasa Pemerintah (LKPP) kembali torehkan prestasi dengan menerima penghargaan Top Inovasi Pelayanan Publik",Positif
193,"""Hendi Terima Penghargaan Inovasi Pelayanan Publik untuk LKPP RI https://t.co/ZcMTXBQJED""",Positif
194,"""Hendi Terima Penghargaan Inovasi Pelayanan Publik untuk LKPP RI https://t.co/653V6vgGgM""",Positif
195,"""Terima kasih Mas Menteri @AzwarAnas_A3 @kempanrb atas kadonya untuk @LKPP_RI di HUT ke-15 🙏🏻 — Bismillah.",Positif
196,"""@LKPP_RI min, itu help desk SIKAP LKPP down berhari2 kok didiemin? Trus sinkronisasi dg DJP utk KSWP gak jalan""",Negatif
197,"""Dilaksanakan di Hotel Bidakara, Jakarta, dalam acara penganugerahan ini, sejumlah Kementerian/Lembaga dan Pemerintah Daerah lainnya turut mendapatkan penghargaan dari KemenPANRB.#LKPP#15tahun""",Positif
198,"""Kepala LKPP Hendrar Prihadi menerima langsung penghargaan tersebut dari Menteri Pendayagunaan Aparatur Negara dan Reformasi Birokrasi Abdullah Azwar Anas.#LKPP#15tahun""",Positif
199,"""Jakarta - Selasa (6/12) bertepatan dengan ulang tahun yang ke-15, LKPP memperoleh penghargaan Top 45 Inovasi Pelayanan Publik KemenPAN RB dalam kategori Inovasi Pelayanan Publik: Peningkatan Ketahanan UMK dan PDN dengan Toko Daring.#LKPP#15tahun https://t.co/CpWZsMGZbG""",Posit
200,"""Terus dukung LKPP hadir untuk pengadaan barang/jasa pemerintah yang transparan dan akuntabel",Positif
201,"""Haloo Sobat Kredibel..15 tahun LKPP Berkiprah15 tahun LKPP Membangun pengadaan barang/jasa pemerintah 15 tahun LKPP Wujudkan pengadaan kredibel sejahterakan bangsa15 tahun LKPP kini, LKPP mengajak kita semua Tumbuh Bersama untuk LKPP Lebih Maju#LKPP#15TahunLKPP https://t.co/gpWQJVKEW0""",Positif
202,"""Ketua DPC PDI Perjuangan Kota Semarang Hendrar Prihadi yang saat ini menjabat sebagai Kepala LKPP RI berada berada di Kota Semarang beberapa waktu lalu.https://t.co/1WmSoyI7cy""",Netral
203,"""Kepala #LKPP RI Minta Petani Tak Ekspor Bibit Apokat Black Mamba #klikRMOLhttps://t.co/LfzFRDaIuS""",Negatif
204,"""BPKAD Jatim Rangkap Paket Pengadaan Mamin System Tender Jadi PL? @LKPP_RI @bpkri @bpkad_jatimhttps://t.co/SgtEZNiKIu""",Netral
205,"""Kepala Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah (LKPP) RI, Hendrar Prihadi mengatakan dalam 15 bulan lagi negara kita akan melaksanakan Pemilu yang besar dimana pemilihan Presiden dan pemilihan Kepala Daerah dilaksanakan pada tahun yang sama.""",Positif
206,"""Kepala LKPP RI Buka Mentoring UKPBJ Provinsi Bengkulu https://t.co/vDY9JOuUCe""",Positif
207,"""Buka Mentoring UKPBJ Provinsi Bengkulu Bersama Kepala LKPP RI, Gubernur Rohidin Tegaskan Ini https://t.co/ITwZO4IYtJ""",Positif
208,"""Buka Mentoring UKPBJ Bersama Kepala LKPP RI, Gubernur Rohidin Tegaskan ini https://t.co/RAfO2Z2QdV""",Positif
209,"""Hendi Kunjungi Rumah Pengasingan Bung Karno, Ajak Anak Muda Pelajari SejarahKamis (1/12) Kepala LKPP RI yang merupakan kader PDI Perjuangan mengunjungi Rumah Pengasingan Bung Karno di Kota Bengkulu",Positif
210,"""Giat ini turut hadirkan narasumber dari @Kemenperin_RI , @LKPP_RI , @KemenkeuRI , @Kemdikbud_RI , @BappenasRI , @ipbofficial ,  Biro Umum, @itjenkkp1 , dan Biro Perencanaan @kkpgoid #KKPAccelerate #MenteriKKP #SDMKP #BRSDMINFINITY @saktitrenggono @in_radiarta https://t.co/hFulfoNQ8H""",Netral
211,"""Bupati Mian Sambut Kedatangan Kepala LKPP RIhttps://t.co/wbwQggI4fI#Bengkulutodaydotcom #Bengkulutoday #Beritabengkulu #Indonesia #Bengkulu #Mediaonline #Mediasiber #kepahiang #pemkabbengkuluutara #LKPPRI @LKPP_RI https://t.co/2sVhC0h7Rd""",Netral
212,"""@LKPP_RI Servernya tolong idupin, mau transaksi soalnya""",Positif
213,"""@LKPP_RI @hendrarprihadi Ekatalog tolong buatkan aplikasinya min di android jadi mudah notif orderan l, chat dan lain2""",Positif
214,"""@LiamsiIsmail10 @LKPP_RI Cocok""",Positif
215,"""@LKPP_RI Bukannya klo karena kriteria ini memang sudah sewajarnya turun tayang ya Min? Atau utk case ini ada sebab/kebijakan khususnya?""",Netral
216,"""Pasca dilantik sebagai Kepala LKPP RI pada 10 Oktober 2022, mantan Walikota Semarang, Hendrar Prihadi melakukan gebrakan dengan membekukan dan menuruntayangkan 20.652 produk di sistem katalog elektronik.https://t.co/YQzg6PEEFg""",Netral
217,"""Menkop UKM Teten Masduki, MenPAN-RB Azwar Anas, Kepala BPKP Yusuf Ateh, Kepala BPS Margo Yuwono, serta Dirjen Bina Keuangan Daerah Kemendagri Agus Fatoni.""",Netral
218,"""Kegiatan Rakor Monev Inpres nomor 2 tahun 2022 yang diselenggarakan oleh LKPP ini juga diikuti oleh sejumlah pejabat di K/L/PD, diantaranya Menko Marves Luhut Binsar Panjaitan, Menperin Agus Gumiwang,""",Netral
219,"""“Laporan yang saya terima dari LKPP adalah sebuah capaian yang bagus, menunjukkan belanja produk dalam negeri sudah semakin meningkat",Positif
220,"""Sementara itu, Presiden Republik Indonesia, Joko Widodo yang hadir secara virtual dalam kegiatan tersebut mengapresiasi upaya LKPP RI dalam peningkatan PDN, juga produk UMK-Koperasi.""",Netral
221,"""Dalam kesempatannya, Hendi menegaskan bahwa upaya pembekuan dan turun tayang produk impor di sistem katalog LKPP dimaksudkan untuk memberi perlindungan pada produk dalam negeri.""",Positif
222,"""Hal itu diungkapkan oleh pria yang akrab disapa Hendi tersebut dalam Rakor Monev Inpres 2/2022 terkait peningkatan penggunaan PDN dan produk UMK-Koperasi dalam rangka menyukseskan Program Bangga Buatan Indonesia, yang diselenggarakan di ICE BSD Tangerang, Selasa (29/11).""",Netral
223,"""Adapun alasan penurunan produk tersebut karena diantaranya merupakan produk impor, produk yang menetapkan harga tidak wajar, dan tidak memiliki kesesuaian dengan penyedia yang terdaftar.""",Negatif
224,"""Pasca dilantik sebagai Kepala LKPP RI pada 10 Oktober 2022, mantan Walikota Semarang, Hendrar Prihadi melakukan gebrakan dengan membekukan dan menuruntayangkan produk di sistem katalog elektronik",Positif
225,"""Selamat Hari KORPRI 2022! Terus semangat untuk memajukan Indonesia yang lebih berkualitas",Positif
226,"""Selamat Hari KORPRI 2022: KORPRI Melayani, Berkontribusi, dan Berinovasi untuk Negeri.ASN LKPP terus bersemangat untuk Melayani, Berkontribusi dan Berinovasi bagi Negeri dalam bidang Pengadaan Barang/Jasa Pemerintah untuk Pengadaan kredibel, demi mensejahterakan bangsa",Positif
227,"""Selamat kepada @LKPP_RI dalam melaksanakan Rakor Monev Implementasi Inpres No",Positif
228,"""Proudly present, an open contracting champion from #Asia - a trailblazer from #Indonesia",Positif
229,"""@kempanrb @LKPP_RI Innailaihi wainnaillaihi rojiun.",Positif
230,"""Terpenting lagi untuk pengadaan barang dan jasa dilingkungan Pemda DKI jakarta bisa dikerjakan oleh rekanan UMKM tidak dikerjakan semua oleh PEMDA DKI dng atas nama Swakelola, saat sekarang kerjaan2 tsb cuma di gaglag sendiri oleh Pemda DKI @LKPP_RI @jokowi @dprddkijakarta""",Netral
231,"""@voidotid Terpenting lagi untuk pengadaan barang dan jasa dilingkungan Pemda DKI jakarta bisa dikerjakan oleh rekanan UMKM tidak dikerjakan semua oleh PEMDA DKI dng atas nama Swakelola, saat sekarang kerjaan2 tsb cuma di gaglag sendiri oleh Pemda DKI @LKPP_RI  @jokowi  @dprddkijakarta""",Netral
232,"""@hendrarprihadi @LKPP_RI Kalo mau konsul kenaikan pangkat fungsional pengelola PBJ kemana bang?""",Netral
233,"""Sedikit testimoni dari Kepala LKPP RI, Bapak Hendrar Prihadi terkait Project Perubahan Kepala Biro Pengadaan Barang dan Jasa Setdaprovsu, Bapak Mulyono, ST.,https://t.co/sHtzQ6BxWo untuk menuju pengadaan hebat sumut bermartabat",Positif
234,"""@kempanrb @LKPP_RI Semoga khusnul khotimah""",Positif
235,"""@kempanrb @LKPP_RI Innalilahi wainnailaihi roji'un, turut berdukacita smg alm Husnul Khotimah.",Negatif
236,"""@kempanrb @LKPP_RI Innalilahi wainnailaihi rojiun""",Negatif
237,"""@kempanrb @LKPP_RI Turut berduka""",Negatif
238,"""@kempanrb @LKPP_RI Innalilahiwainailahi rojiun""",Negatif
239,"""@kempanrb @LKPP_RI Innalilahiwainailahi rojiun""",Negatif
240,"""@madh_78 @kempanrb @LKPP_RI Aamiin yaa robb...""",Netral
241,"""@LKPP_RI Innalillahi Wa Inna Ilaihi Raji’un""",Positif
242,"""@kempanrb @LKPP_RI Aamiin""",Positif
243,"""Innalillahi Wainnailaihi Raji'unDuka cita mendalam atas kepergian Bapak Robin Asad Suryo (Sekretaris Utama @LKPP_RI).Semoga amal ibadah beliau diterima Allah SWT dan keluarga yang ditinggalkan diberikan ketabahan",Positif
244,"""@hendrarprihadi @LKPP_RI Mantabs....Indonesia Maju""",Positif
245,"""Semoga segala amal ibadah beliau diterima dan diberikan tempat terbaik disisi Allah SWT, serta keluarga yang ditinggalkan diberi ketabahan dan keiklasan",Positif
246,"""Innalillahi Wa Inna Ilaihi Raji’unKepala LKPP beserta segenap pegawai LKPP turut berduka cita atas meninggalnyaSekretaris Utama LKPPRobin Asad Suryo, PhD https://t.co/VSmXe4RTSd""",Positif
247,"""Kepala LKPP RI, Hendrar Prihadi mengatakan, prinsip terpercaya dan pro pada produk dalam negeri (PDN) harus dikedepaqnkan dalam pengembangan sistem pengadaan barang dan jasa pemerintah di Indonesia.https://t.co/c4aemyauwv""",Netral
248,"""#Sobatpengadaan Aplikasi APIK LAKONI yg digunakan utk fasilitasi layanan katalog lokal &amp; P3DN di Jateng yg dapat diakses melaluihttps://t.co/3Igs8jPXB6Yang diresmikan penggunaannya oleh bpk @hendrarprihadi selaku Ka",Positif
249,"""#Sobatpengadaan hari ini diadakan Rapat Koordinasi Pemanfaatan Katalog Lokal di Lingkup @provjateng yg dihadiri oleh bpk @hendrarprihadi selaku Kepala @LKPP_RI yg mengapresiasi Proses Pengadaan melalui Katalog Elektronik yg Progressnya sangat baik#JatengGayeng @ganjarpranowo https://t.co/ttEDK7J1Jx""",Positif
250,"""@KPU_ID @Ekawima @bernad_dermawan @hsym_asyari @kabarafif @yuliantosudraja @Parsa1707 @djikp @Kemenkumham_RI @LKPP_RI Apakah  Tes ppkdan pps di tentukan  oleh kpu ri melalui SIABKA atau di rekutmen oleh kpu daerah kabupaten",Netral
251,"""Segera Hadir!RAKOR MONEV INPRES 2/2022“UMK-Koperasi dan PDN Kuat, Ekonomi Pulih Lebih Cepat” 29 November 2022ICE BSD, Tangerang, Banten",Netral
252,"""Via @LKPP_RI""",Netral
253,"""@LKPP_RI info utk LPSE kabupaten bekasi susah login pengguna, apa ada gangguan, trimakasih""",Netral
254,"""@kakungtino @maniac0909 @abu_waras 14",Netral
255,"""Kepala #LKPP RI Harap Transaksi Produk Lokal Terus Ditingkatkan Tiap Daerah #klikRMOLhttps://t.co/b200wJFEV4""",Positif
256,"""@LKPP_RI Di Pemda, sepertinya hampir semua PPK diperankan oleh PA/KPA, tanpa Kompetensi PBJ",Netral
257,"""Terutama bagi Sobat Kredibel yang nantinya akan berperan sebagai Pejabat Pembuat Komitmen (PPK), Pokja Pemilihan, atau Pejabat Pengadaan (PP)",Positif
258,"""Oleh karena itu, Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah (LKPP) melalui Pusat Pendidikan dan Pelatihan Pengadaan Barang/Jasa (Pusdiklat PBJ LKPP) menyelenggarakan pelatihan kompetensi bagi Sobat yang merupakan Personel Lainnya lhoo..""",Positif
259,"""Haloo Sobat Kredibel..Tahukah kamu? Sumber Daya Manusia Pengadaan Barang/Jasa Personel lainnya wajib memiliki sertifikat kompetensi paling lambat pada 31 Desember 2023",Positif
260,"""Cek keaslian pesan singkat mengatasnamakan LKPP dengan menghubungi humas@lkpp.go.id atau linimasa Instagram/Twitter di @LKPP_RI.Laporkan kepada pihak berwajib apabila Anda menemukan atau mengalami modus penipuan mengatasnamakan LKPP.#LKPP#KawalPengadaan#Penipuan""",Netral
261,"""Pastikan keaslian surat resmi LKPP dengan cara scan/pindai QRCode atau kunjungi laman https://t.co/X9FzDvZhfw kemudian masukan nomor token serta tiket yang terlampir pada setiap dokumen.#LKPP#KawalPengadaan#Penipuan""",Netral
262,"""Setiap informasi resmi LKPP akan disampaikan melalui laman https://t.co/INRCmm5FoE dan melalui surat/dokumen yang telah ditandatangani secara elektronik.#LKPP#KawalPengadaan#Penipuan""",Netral
263,"""LKPP tidak pernah memungut biaya apapun, meminta untuk melakukan transfer, dan tidak memiliki nomor rekening dengan atas nama pribadi.#LKPP#KawalPengadaan#Penipuan""",Netral
264,"""Haloo Sobat Kredibel!Waspada penipuan mengatasnamakan Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah atau LKPP berupa surat palsu maupun pesan singkat melalui SMS, Whatsapp, Telegram, dll.#LKPP#KawalPengadaan#Penipuan https://t.co/xoB55Q6K3R""",Positif
265,"""Proudly present #opencontracting champions from Asia 🥳🤵🏽‍♀️Siti Juliantari- @antikorupsi collaborating w/ @LKPP_RI on red flag mechanism improvement #Indonesia &amp;🤵🏽‍♀️Laya Madduri - #Assam State Finance Dept #India collaborating w/our @CivicDatalab on better public finance management""",Positif
266,"""Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah (LKPP) @LKPP_RI menyerahkan sertifikat atas pemenuhan 17 standar Layanan Pengadaan Secara Elektronik (LPSE) kpd Kemendes PDTT.@cakimiNOW @Sukoyo65132712 @hasanroviqi @HasanZulfahmi @Mursyidan10@maulizanace@AbuYus79147958 https://t.co/aYBpkGVfQd""",Positif
267,"""Dengan ini saya nyatakan KTT G20 di Bali, Indonesia, di tutup",Positif
268,"""Yang Mulia, Kita telah tiba pada akhir dari KTT G20",Positif
269,"""Saya juga meminta kpd semua pimpinan G20 yg hadir utk mendukung India tahun depan",Positif
270,"""Amanah untuk menjaga dan mewujudkan pemulihan global serta pertumbuhan yang kuat dan inklusif selanjutnya berada di tangan yang Mulia PM Narendra Modi",Positif
271,"""Yang Mulia, saya juga ingin menyampaikan selamat kepada India yang akan melanjutkan Kepemimpinan Presidensi G20 berikutnya #KTTG20DeklarasiBali Indonesia Sukses G20""",Positif
272,"""Proyek kerjasama inilah yg akan membantu membumikan kerja G20 lebih dekat dengan rakyat",Positif
273,"""Selain deklarasi,  Presidensi Indonesia juga menghasilkan Konkret Deliverable yang berisi daftar proyek kerjasama negara anggota G20 dan undangan",Positif
274,"""Saya juga ingin menyampaikan penghargaan yang setinggi-tingginya kepada seluruh working groups dan engagement groups atas dedikasi, sumbangan, pemikiran dan kontribusinya bagi Presidensi G20 Indonesia",Positif
275,"""Saya menyampaikan penghargaan yang setinggi-tingginya kepada semua yang hadir yang telah memberikan fleksibilitasnya sehingga deklarasi dapat disepakati dan disahkan",Positif
276,"""Alhamdulillah, hari ini kita dapat mengadopsi dan mengesahkan G20 Bali Leaders Declaration",Positif
277,"""Berbagai tantangan baru muncul yg bkn hanya menghambat pemulihan, namun juga dapat mengancam dunia terjerumus ke krisis yg lebih dalam",Positif
278,"""Yang Mulia, Merupakan suatu kehormatan bagi Indonesia untuk memimpin G20 selama 1 tahun terakhir ini",Positif
279,"""Yang Mulia, Demikian pengantar dari saya selanjutnya kita akan mulai dengan diskusi tertutup",Posit
280,"""Yang Mulia, Kita harus bekerja sama untuk memastikan manfaat digital dapat dirasakan secara merata oleh semua",Positif
281,"""Untuk itu keamanan digital dan perlindungan privasi harus di jamin",Positif
282,"""Ketiga, lingkungan digital yang aman",Positif
283,"""G20 harus dapat menggerakkan kerja sama penguatan kapasitas digital bagi negara berkembang",Positif
284,"""Kedua, literasi digital",Positif
285,"""Ketimpangan ini harus segera kita perbaiki",Positif
286,"""Pertama, kesetaraan akses digital",Positif
287,"""Tahun ini, G20 juga mendorong pengembangan start up potential melalui Digital Innovation Network",Positif
288,"""Sebagai presiden G20, Indonesia mendorong transformasi digital untuk mempercepat pemulihan global dan di bawah Presidensi Indonesia, Digital Economy Working group sudah mulai berjalan",Positif
289,"""Yang Mulia, Ekonomi digital adalah kunci masa depan ekonomi dunia, sebagai pilar ketahanan di masa pandemi",Posit
290,"""Para pemimpin Negara-Negara G20 nampak kompak mengenakan Batik",Positif
291,"""Undangan disuguhi ragam masakan Nusantara",Positif
292,"""Presiden Jokowi kemudian mempersilahkan para tamu undangan menyantap hidangan yang disiapkan",Positif
293,"""Presiden menjelaskan GWK menyimbolkan peran para pemimpin",Positif
294,"""""Para pemimpin negara-negara G20, undangan, organisasi internasional, hadirin sekalian, terima kasih atas kehadirannya di Garuda Wisnu Kencana,"" Presiden Jokowi menyambut dengan hangat sebelum memulai jamuan santap malam",Positif
295,"""Presiden dan Ibu Iriana tampak serasi mengenakan pakaian adat Bali, tiba di GWK pukul 19.00 WITA untuk menyambut kedatangan para tamu dan berfoto bersama dengan latar belakang Patung Garuda Wisnu Kencana yang megah",Positif
296,"""Sebagai bagian dari acara puncak KTT G20 di Bali, Presiden Jokowi dan Ibu Iriana menjamu santap malam para pemimpin negara G20, organisasi internasional, dan undangan lainnya di Garuda Wisnu Kencana (GWK), Bali, Selasa 15 November 2022",Positif
297,"""Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah (LKPP) @LKPP_RI menyerahkan sertifikat atas pemenuhan 17 standar Layanan Pengadaan Secara Elektronik (LPSE) kepada Kemendes PDTT.#KemendesPDTT#DesaBisa #MulaiDariDesa https://t.co/vpHVB5ocMl""",Netral
298,"""Yang Mulia, selanjutnya kita akan mulai dengan diskusi tertutup",Netral
299,"""Saya menantikan pandangan dan kontribusi Yang Mulia bagi  penguatan arsitektur kesehatan dunia",Positif
300,"""We have no other option",Positive
301,"""Sebagai negara demokrasi, Indonesia sangat menyadari pentingnya dialog untuk mempertemukan perbedaan, dan semangat yang sama harus ditunjukkan G20",Positive
302,"""Yang Mulia, Indonesia memiliki 17.000 pulau,1.300 suku bangsa, serta lbh dr 700 bhs daerah",Positive
303,"""Namun, keberhasilan hanya akan dapat tercapai jika kita semua, tanpa terkecuali, berkomitmen, bekerja keras, menyisihkan perbedaan-perbedaan untuk menghasilkan sesuatu yang konkret, sesuatu yang bermanfaat bagi dunia",Positive
304,"""Sebagai presidensi G20, Indonesia telah berupaya semaksimal mungkin untuk menjembatani perbedaan yang sangat dalam, yang sangat lebar",Positive
305,"""Yang Mulia, Hari ini mata dunia tertuju pada pertemuan kita",Positive
306,"""48 negara berkembang dengan tingkat kerawanan pangan tertinggi akan hadapi kondisi yang sangat serius",Negative
307,"""Tingginya harga pangan saat ini dapat semakin buruk menjadi krisis tidak adanya pasokan pangan",Negative
308,"""Masalah pupuk jangan disepelekan",Negative
309,"""Dan dampak berbagai krisis tersebut terhadap ketahanan pangan, energi, dan keuangan sangat dirasakan dunia terutama negara berkembang",Negative
310,"""Hallo Sobat Kredibel..Dalam rangka mengenang perjuangan para pahlawan untuk merebut kemerdekaan yang hakiki, setiap tanggal 10 November kita peringati sebagi Hari Pahlawan",Netral
311,"""Selamat Memperingati Hari Pahlawan, 10 November 2022.Di peringatan Hari Pahlawan ini, Kepala LKPP Hendrar Prihadi mengajak kita semua nyalakan semangat perjuangan, bergerak maju bersama membangun negeri 🇮🇩Indonesia Bangkit! #LKPP#HariPahlawan#KatalogElektronik https://t.co/Dq40DhEak9""",Positif
312,"""apakah ini imbas dari tekanan @BPJSKesehatanRI utk menyediakan obat semurah2nya?tugas berat quality control perusahaan farmasi dan @BPOM_RI @LKPP_RI @PBIDI  https://t.co/oXbh3yzDaf""",Negatif
313,"""Selamat Hari Pahlawan 10 November 2022, Bergerak Bersama Membangun Indonesia! 🇮🇩#LKPP#HariPahlawan#KatalogElektronik""",Positif
314,"""Mari berkarya dengan melakukan yang terbaik sesuai peran dan tanggung jawab kita masing-masing",Positif
315,"""Bentuk dari tanggung jawab itu, LKPP memberikan kemudahan bagi para pelaku usaha untuk menjadi bagian dari pengadaan barang/jasa pemerintah dengan memasukan produk usahanya dalam Katalog Elektronik",Positif
316,"""Kini, menjadi tugas dan tanggung jawab kita dalam mempertahankan kemerdekaan itu, salah satunya dengan mendukung pemberdayaan Produk Dalam Negeri (PDN) dan produk Usaha Mikro, Kecil, dan Koperasi (UMK-Koperasi).#LKPP #HariPahlawan""",Positif
