,tweetid,guid,author,title,description,pubdate,favorite_count,retweet_count,tweet_type,in_reply_to_screen_name,in_reply_to_user_id,in_reply_to_status_id,retweeted_screen_name,retweeted_user_id,retweeted_status_id,user_id,profile_image_url,user_statuses_count,user_friends_count,user_followers_count,user_created_at,user_location,capres,Sentiment
1064,1667046648919490563,https://twitter.com/busetdah78/statuses/1667046648919490563,busetdah78,"RT @KrisyantoOni: Memuja juragan b0k3p tanda tak punya 0T4K!!!
2024 ANIES BASWEDAN PRESIDEN 🇮🇩
#AniesBaswedanLebihNKRI #2024CoblosAniesBasw…","Memuja juragan b0k3p tanda tak punya 0T4K!!!
2024 ANIES BASWEDAN PRESIDEN 🇮🇩
#AniesBaswedanLebihNKRI #2024CoblosAniesBaswedan #GueAniesBaswedan #BravoANIES #2024AniesBaswedanPresiden #KrisyantoYenOni https://t.co/q6HLW81R6N",2023-06-09 01:51:07,0,39,retweet,,0,0,KrisyantoOni,1283848995962417152,1667030912926896128,857257753,https://pbs.twimg.com/profile_images/1374992228804747266/k4gSJhNe_normal.jpg,2535,185,100,2012-10-01 20:36:41,Ciamis,Anies Baswedan,neutral
1075,1667046263840444418,https://twitter.com/robiharyadi86/statuses/1667046263840444418,robiharyadi86,RT @PKSejahtera: Ada yang 'Naksir' Banner Saya bersama Bapak Anies Baswedan https://t.co/PsRA5TucwN https://t.co/yidPxsyDOZ,Ada yang 'Naksir' Banner Saya bersama Bapak Anies Baswedan https://t.co/PsRA5TucwN https://t.co/yidPxsyDOZ,2023-06-09 01:49:36,0,10,retweet,,0,0,PKSejahtera,22365191,1667036314213191680,572981367,https://pbs.twimg.com/profile_images/1338655716672860160/ixexvrwW_normal.jpg,59261,97,677,2012-05-06 14:33:18,Pontianak,Anies Baswedan,neutral
1076,1667046207091511298,https://twitter.com/SayudiRachmad/statuses/1667046207091511298,SayudiRachmad,"RT @abwnews_: PKS Tegaskan Godaan Tak Akan Menghentikan Dukungan kepada Anies Baswedan

https://t.co/YFr5E2UT7D","PKS Tegaskan Godaan Tak Akan Menghentikan Dukungan kepada Anies Baswedan

https://t.co/YFr5E2UT7D",2023-06-09 01:49:22,0,207,retweet,,0,0,abwnews_,1185767973111263233,1666768066083184640,1648689373821693952,https://pbs.twimg.com/profile_images/1648690005785849858/QFDqkaAH_normal.png,335,12,3,2023-04-19 10:08:22,Surabaya,Anies Baswedan,neutral
1079,1667045924034744320,https://twitter.com/travelNexpress/statuses/1667045924034744320,travelNexpress,"RT @Malika6027: Mbk Yeni Wachid bicara tentang Pak Anies Baswedan...

InsyaAllah para Nahdiyyin dan Gusdurian siap mendukung Perubahan yg d…","Mbk Yeni Wachid bicara tentang Pak Anies Baswedan...

InsyaAllah para Nahdiyyin dan Gusdurian siap mendukung Perubahan yg digagas oleh Pak Anies dan tiga partai koalisi pendukungnya.. https://t.co/WTnBHCq1GQ",2023-06-09 01:48:15,0,136,retweet,,0,0,Malika6027,1603593688005115905,1666755194875699200,2893246195,https://pbs.twimg.com/profile_images/1266814670402236416/Lvz9rGgc_normal.jpg,14467,428,450,2014-11-07 18:41:14,Sukabumi,Anies Baswedan,neutral
1088,1667045391588786176,https://twitter.com/travelNexpress/statuses/1667045391588786176,travelNexpress,"RT @abwnews_: PKS Tegaskan Godaan Tak Akan Menghentikan Dukungan kepada Anies Baswedan

https://t.co/YFr5E2UT7D","PKS Tegaskan Godaan Tak Akan Menghentikan Dukungan kepada Anies Baswedan

https://t.co/YFr5E2UT7D",2023-06-09 01:46:08,0,207,retweet,,0,0,abwnews_,1185767973111263233,1666768066083184640,2893246195,https://pbs.twimg.com/profile_images/1266814670402236416/Lvz9rGgc_normal.jpg,14467,428,450,2014-11-07 18:41:14,Sukabumi,Anies Baswedan,neutral
1091,1667045245719281665,https://twitter.com/travelNexpress/statuses/1667045245719281665,travelNexpress,"RT @tvOneNews: Denny Indrayana Sebut Suharso Monoarfa ""Dipecat"" PPP karena 4 Kali Bertemu Anies Baswedan https://t.co/DupFpBudnm","Denny Indrayana Sebut Suharso Monoarfa ""Dipecat"" PPP karena 4 Kali Bertemu Anies Baswedan https://t.co/DupFpBudnm",2023-06-09 01:45:33,0,215,retweet,,0,0,tvOneNews,55507370,1666981954657587200,2893246195,https://pbs.twimg.com/profile_images/1266814670402236416/Lvz9rGgc_normal.jpg,14467,428,450,2014-11-07 18:41:14,Sukabumi,Anies Baswedan,neutral
1092,1667045197442850819,https://twitter.com/AndipanjaitanP/statuses/1667045197442850819,AndipanjaitanP,"RT @TeddGus: PDIP pun berpendapat sama seperti Partai Garuda. Karena sama sekali tidak mempunyai prestasi, makanya membuat cerita dijegal.…","PDIP pun berpendapat sama seperti Partai Garuda. Karena sama sekali tidak mempunyai prestasi, makanya membuat cerita dijegal. Ini penyakit..

PDIP Bantah Jegal Anies Baswedan, Hasto: Pemimpin yg Tidak Berprestasi Menciptakan Ganjalan Seolah Seperti Ujian https://t.co/3vGo8zv8E8",2023-06-09 01:45:21,0,65,retweet,,0,0,TeddGus,1447610310529982467,1666975403599331328,4761262728,https://pbs.twimg.com/profile_images/1664198248268197892/7LXIKkiT_normal.jpg,36629,481,582,2016-01-14 23:55:52,Kota Bekasi,Anies Baswedan,negative
1095,1667045060188459008,https://twitter.com/nandi_koswara/statuses/1667045060188459008,nandi_koswara,"RT @KrisyantoOni: Nyerang orang ga pake otak, tapi ga siap diserang. Waras???
2024 ANIES BASWEDAN PRESIDEN 🇮🇩
#AniesBaswedanLebihNKRI #2024…","Nyerang orang ga pake otak, tapi ga siap diserang. Waras???
2024 ANIES BASWEDAN PRESIDEN 🇮🇩
#AniesBaswedanLebihNKRI #2024CoblosAniesBaswedan #GueAniesBaswedan #2024AniesBaswedanPresiden #KrisyantoYenOni https://t.co/n70lGz3NQ7",2023-06-09 01:44:49,0,36,retweet,,0,0,KrisyantoOni,1283848995962417152,1666976433493929984,714641761,https://pbs.twimg.com/profile_images/1601269031146704897/e2nsZucj_normal.jpg,874,818,148,2012-07-24 13:28:26,Serang,Anies Baswedan,negative
1114,1667044233524686848,https://twitter.com/april_yudi69/statuses/1667044233524686848,april_yudi69,"RT @MichelAdam7__: Ulama NU keren!

Siapa pun Cawapresnya, Ulama NU Tetap Dukung Anies Baswedan
https://t.co/XN9LsRygdX

#BubarkanMK_MafiaK…","Ulama NU keren!

Siapa pun Cawapresnya, Ulama NU Tetap Dukung Anies Baswedan
https://t.co/XN9LsRygdX

#BubarkanMK_MafiaKonstitusi 
#BubarkanMK_MafiaKonstitusi",2023-06-09 01:41:32,0,26,retweet,,0,0,MichelAdam7__,1647311678160384007,1666970308795052034,1601589964084457472,https://pbs.twimg.com/profile_images/1601590184109256704/Ex0oBAFj_normal.jpg,1482,305,251,2022-12-10 09:50:30,Sidoarjo,Anies Baswedan,positive
1115,1667044076372520960,https://twitter.com/ArdanaRomlan/statuses/1667044076372520960,ArdanaRomlan,"RT @hc_poirot: ternyata ppp adalah partai yang terancam hilang kalau sampai mendukung anies

ketuanya suharso monoarfa pun sudah dikandangk…","ternyata ppp adalah partai yang terancam hilang kalau sampai mendukung anies

ketuanya suharso monoarfa pun sudah dikandangkan hanya karena bertemu dengan anies baswedan

cawe-cawe jokowi memang gila dan patut dihentikan melalui pemakzulan https://t.co/tKdXvwlOWB",2023-06-09 01:40:54,0,403,retweet,,0,0,hc_poirot,1138950541180936192,1666470038654828551,1367144622812581891,https://pbs.twimg.com/profile_images/1473345860373139459/RB7S4pbH_normal.jpg,19677,1539,1418,2021-03-03 11:07:52,Semarang,Anies Baswedan,negative
1130,1667043267987525632,https://twitter.com/ElfizaEnny/statuses/1667043267987525632,ElfizaEnny,"RT @tvOneNews: Denny Indrayana Sebut Suharso Monoarfa ""Dipecat"" PPP karena 4 Kali Bertemu Anies Baswedan https://t.co/DupFpBudnm","Denny Indrayana Sebut Suharso Monoarfa ""Dipecat"" PPP karena 4 Kali Bertemu Anies Baswedan https://t.co/DupFpBudnm",2023-06-09 01:37:41,0,215,retweet,,0,0,tvOneNews,55507370,1666981954657587200,1033993501694779393,https://pbs.twimg.com/profile_images/1664993385487405056/C3CKWq6W_normal.jpg,177636,7611,8298,2018-08-27 04:23:56,Pekanbaru,Anies Baswedan,neutral
1150,1667042208086892545,https://twitter.com/april_yudi69/statuses/1667042208086892545,april_yudi69,"RT @IMCMushroom: Ini Prestasi Anies Baswedan. 
Prestasi Ganjar menurut Hasto PDIP apa ? https://t.co/2lCDP1BZAs","Ini Prestasi Anies Baswedan. 
Prestasi Ganjar menurut Hasto PDIP apa ? https://t.co/2lCDP1BZAs",2023-06-09 01:33:29,0,66,retweet,,0,0,IMCMushroom,744575917,1666669680474591233,1601589964084457472,https://pbs.twimg.com/profile_images/1601590184109256704/Ex0oBAFj_normal.jpg,1482,305,251,2022-12-10 09:50:30,Sidoarjo,Anies Baswedan,neutral
1154,1667042187027308544,https://twitter.com/john_tor12/statuses/1667042187027308544,john_tor12,"RT @tvOneNews: Denny Indrayana Sebut Suharso Monoarfa ""Dipecat"" PPP karena 4 Kali Bertemu Anies Baswedan https://t.co/DupFpBudnm","Denny Indrayana Sebut Suharso Monoarfa ""Dipecat"" PPP karena 4 Kali Bertemu Anies Baswedan https://t.co/DupFpBudnm",2023-06-09 01:33:24,0,215,retweet,,0,0,tvOneNews,55507370,1666981954657587200,1312043883367260166,https://pbs.twimg.com/profile_images/1607685677285797888/LQnkcQPM_normal.jpg,59262,245,163,2020-10-02 10:57:08,Denpasar,Anies Baswedan,neutral
1164,1667041421260623872,https://twitter.com/tenjoleatstore/statuses/1667041421260623872,tenjoleatstore,"RT @BosPurwa: Ikutan ah..
Anies  Baswedan retweet 🔃
King Purwa Like 👌😅 https://t.co/ChSr4InDHf","Ikutan ah..
Anies  Baswedan retweet 🔃
King Purwa Like 👌😅 https://t.co/ChSr4InDHf",2023-06-09 01:30:21,0,1577,retweet,,0,0,BosPurwa,1068371293290946561,1666428027444826114,759724247094743040,https://pbs.twimg.com/profile_images/1573289607273144320/XZPm0qe7_normal.jpg,5593,528,415,2016-07-31 08:15:50,Kota Bogor,Anies Baswedan,neutral
1182,1667040345014804480,https://twitter.com/iirmia84/statuses/1667040345014804480,iirmia84,"RT @Yurissa_Samosir: Anies Rasyid Baswedan S.E..,M.P.P..,Ph.D....Pendidikan dan gelarnya jelas banget, serta Pak Anies terbukti mampu merub…","Anies Rasyid Baswedan S.E..,M.P.P..,Ph.D....Pendidikan dan gelarnya jelas banget, serta Pak Anies terbukti mampu merubah jakarta menjadi lebih baik 🥰 https://t.co/icxWMpyD0H",2023-06-09 01:26:05,0,248,retweet,,0,0,Yurissa_Samosir,1456283686312103939,1666819345413185537,154006152,https://pbs.twimg.com/profile_images/1577891365656010752/-L7rF6mO_normal.jpg,5820,333,137,2010-06-09 23:41:41,Magelang,Anies Baswedan,positive
1185,1667040191025131521,https://twitter.com/jpsatrio/statuses/1667040191025131521,jpsatrio,"RT @TeddGus: PDIP pun berpendapat sama seperti Partai Garuda. Karena sama sekali tidak mempunyai prestasi, makanya membuat cerita dijegal.…","PDIP pun berpendapat sama seperti Partai Garuda. Karena sama sekali tidak mempunyai prestasi, makanya membuat cerita dijegal. Ini penyakit..

PDIP Bantah Jegal Anies Baswedan, Hasto: Pemimpin yg Tidak Berprestasi Menciptakan Ganjalan Seolah Seperti Ujian https://t.co/3vGo8zv8E8",2023-06-09 01:25:28,0,65,retweet,,0,0,TeddGus,1447610310529982467,1666975403599331328,132958335,https://pbs.twimg.com/profile_images/946045523504406528/2ht77zTK_normal.jpg,56996,441,513,2010-04-14 12:44:01,Bandung Barat,Anies Baswedan,negative
1186,1667040087618772995,https://twitter.com/heraldindo/statuses/1667040087618772995,heraldindo,"Bakal Calon Presiden (Bacapres) dari Koalisi Perubahan untuk Persatuan Anies Rasyid Baswedan menekankan soal kehormatan yang harus ditunjukkan oleh para bakal calon anggota legislatif (Bacaleg) Partai NasDem.

https://t.co/NhnzjZqe2L

#presiden2024 #bacaleg","Bakal Calon Presiden (Bacapres) dari Koalisi Perubahan untuk Persatuan Anies Rasyid Baswedan menekankan soal kehormatan yang harus ditunjukkan oleh para bakal calon anggota legislatif (Bacaleg) Partai NasDem.

https://t.co/NhnzjZqe2L

#presiden2024 #bacaleg",2023-06-09 01:25:03,0,0,original,,0,0,,0,0,1453173401342779395,https://pbs.twimg.com/profile_images/1613827824376500224/LPM9Etdr_normal.jpg,82742,673,439,2021-10-26 21:35:27,Jakarta Selatan,Anies Baswedan,neutral
1196,1667039424906170368,https://twitter.com/RrgDevino/statuses/1667039424906170368,RrgDevino,"RT @KrisyantoOni: Memuja juragan b0k3p tanda tak punya 0T4K!!!
2024 ANIES BASWEDAN PRESIDEN 🇮🇩
#AniesBaswedanLebihNKRI #2024CoblosAniesBasw…","Memuja juragan b0k3p tanda tak punya 0T4K!!!
2024 ANIES BASWEDAN PRESIDEN 🇮🇩
#AniesBaswedanLebihNKRI #2024CoblosAniesBaswedan #GueAniesBaswedan #BravoANIES #2024AniesBaswedanPresiden #KrisyantoYenOni https://t.co/q6HLW81R6N",2023-06-09 01:22:25,0,39,retweet,,0,0,KrisyantoOni,1283848995962417152,1667030912926896128,746217501139206146,https://pbs.twimg.com/profile_images/1597182870657052672/GIfrG6z2_normal.jpg,27337,1406,1638,2016-06-24 01:44:51,Lombok Timur,Anies Baswedan,neutral
1200,1667039234832887810,https://twitter.com/madmanansang64/statuses/1667039234832887810,madmanansang64,RT @yazidmfd: Gus Yazid Kebumen Optimistis Anies Baswedan Menang di Dapil Jateng 7 https://t.co/bjRsX4j0ku,Gus Yazid Kebumen Optimistis Anies Baswedan Menang di Dapil Jateng 7 https://t.co/bjRsX4j0ku,2023-06-09 01:21:40,0,27,retweet,,0,0,yazidmfd,1650885017353207809,1666071645600247811,1638742282655657984,https://pbs.twimg.com/profile_images/1652880121500663811/SCIntFpb_normal.jpg,2931,193,135,2023-03-22 23:20:26,Manado,Anies Baswedan,neutral
1206,1667038876597387265,https://twitter.com/heraldindo/statuses/1667038876597387265,heraldindo,"Tim 8 bentukan Koalisi Perubahan untuk Persatuan (KPP) sempat menyebut Ketua DPP PDIP Puan Maharani, masuk dalam bursa cawapres Anies Baswedan.

https://t.co/AsSfQNy9dc

#KPP #PDIPerjuangan","Tim 8 bentukan Koalisi Perubahan untuk Persatuan (KPP) sempat menyebut Ketua DPP PDIP Puan Maharani, masuk dalam bursa cawapres Anies Baswedan.

https://t.co/AsSfQNy9dc

#KPP #PDIPerjuangan",2023-06-09 01:20:14,0,0,original,,0,0,,0,0,1453173401342779395,https://pbs.twimg.com/profile_images/1613827824376500224/LPM9Etdr_normal.jpg,82742,673,439,2021-10-26 21:35:27,Jakarta Selatan,Anies Baswedan,neutral
1219,1667038607306264576,https://twitter.com/heraldindo/statuses/1667038607306264576,heraldindo,"Faizal Assegaf, seorang kritikus politik, memberikan saran kepada Prabowo Subianto untuk bergabung dengan pasangan Anies Baswedan daripada terlibat dalam politik kucing-kucingan dengan Presiden Joko Widodo.

https://t.co/JMzqTm74ZN

#PrabowoSubianto #faizalthegreatbottom","Faizal Assegaf, seorang kritikus politik, memberikan saran kepada Prabowo Subianto untuk bergabung dengan pasangan Anies Baswedan daripada terlibat dalam politik kucing-kucingan dengan Presiden Joko Widodo.

https://t.co/JMzqTm74ZN

#PrabowoSubianto #faizalthegreatbottom",2023-06-09 01:19:10,0,0,original,,0,0,,0,0,1453173401342779395,https://pbs.twimg.com/profile_images/1613827824376500224/LPM9Etdr_normal.jpg,82742,673,439,2021-10-26 21:35:27,Jakarta Selatan,Anies Baswedan,neutral
1224,1667038352544239616,https://twitter.com/heraldindo/statuses/1667038352544239616,heraldindo,"Said Didu, mantan Sekretaris Kementerian BUMN, mengungkapkan keheranannya terhadap tudingan yang menyebut bahwa Gubernur DKI Jakarta, Anies Baswedan, menggunakan politik identitas dalam kiprahnya.

https://t.co/leZqQee4Xw

#saiddidu #jakarta","Said Didu, mantan Sekretaris Kementerian BUMN, mengungkapkan keheranannya terhadap tudingan yang menyebut bahwa Gubernur DKI Jakarta, Anies Baswedan, menggunakan politik identitas dalam kiprahnya.

https://t.co/leZqQee4Xw

#saiddidu #jakarta",2023-06-09 01:18:09,0,0,original,,0,0,,0,0,1453173401342779395,https://pbs.twimg.com/profile_images/1613827824376500224/LPM9Etdr_normal.jpg,82742,673,439,2021-10-26 21:35:27,Jakarta Selatan,Anies Baswedan,neutral
1273,1667035184636760064,https://twitter.com/itafgaul/statuses/1667035184636760064,itafgaul,"RT @musniumar: Hasil survei  beberapa lembaga survei menempatkan Anies Baswedan  nomor 3 dgn elektabilitas rendah. Pertanyaannya,  mengapa…","Hasil survei  beberapa lembaga survei menempatkan Anies Baswedan  nomor 3 dgn elektabilitas rendah. Pertanyaannya,  mengapa Anies  masih diganjal dan dicegah tidak menjadi Capres Pemilu 2024? https://t.co/I4DRMx6rFP",2023-06-09 01:05:34,0,31,retweet,,0,0,musniumar,114697372,1666741213347860480,269649264,https://pbs.twimg.com/profile_images/1173141566849871872/I3KsxngL_normal.jpg,68789,845,468,2011-03-21 01:57:14,Batam,Anies Baswedan,neutral
1283,1667034250976333824,https://twitter.com/om_oga/statuses/1667034250976333824,om_oga,"RT @tempodotco: AHY Masuk Bursa Cawapres PDIP, Demokrat: Capres Kami Anies Baswedan, Bukan Ganjar #TempoNasional https://t.co/zdGDdvfaTo","AHY Masuk Bursa Cawapres PDIP, Demokrat: Capres Kami Anies Baswedan, Bukan Ganjar #TempoNasional https://t.co/zdGDdvfaTo",2023-06-09 01:01:52,0,475,retweet,,0,0,tempodotco,18129942,1666096242441715716,134486035,https://pbs.twimg.com/profile_images/1364865854140162048/KjzsxFUx_normal.jpg,47696,790,728,2010-04-18 11:14:23,Jakarta Barat,Anies Baswedan,neutral
1298,1667033417849126913,https://twitter.com/agusprehadi/statuses/1667033417849126913,agusprehadi,RT @tvOneNews: Mahfud MD Tolak Jadi Cawapres Anies Baswedan https://t.co/7OU9JGnYpY,Mahfud MD Tolak Jadi Cawapres Anies Baswedan https://t.co/7OU9JGnYpY,2023-06-09 00:58:33,0,58,retweet,,0,0,tvOneNews,55507370,1666053335257079808,859675038,https://pbs.twimg.com/profile_images/1539505853568458754/77OOpjGW_normal.jpg,83145,184,485,2012-10-03 09:21:27,Depok,Anies Baswedan,neutral
1308,1667032897776398336,https://twitter.com/Bonnii_nya/statuses/1667032897776398336,Bonnii_nya,Rekam jejak bobrok Anies Baswedan!!! https://t.co/Aa3CSuRALx,Rekam jejak bobrok Anies Baswedan!!! https://t.co/Aa3CSuRALx,2023-06-09 00:56:29,0,0,original,,0,0,,0,0,1583646873289564160,https://pbs.twimg.com/profile_images/1620288731331842049/Eg-Pm9o3_normal.jpg,279,107,46,2022-10-21 22:30:37,Bengkulu Selatan,Anies Baswedan,neutral
1312,1667032657539256320,https://twitter.com/Gazali67612853/statuses/1667032657539256320,Gazali67612853,"RT @KrisyantoOni: Nyerang orang ga pake otak, tapi ga siap diserang. Waras???
2024 ANIES BASWEDAN PRESIDEN 🇮🇩
#AniesBaswedanLebihNKRI #2024…","Nyerang orang ga pake otak, tapi ga siap diserang. Waras???
2024 ANIES BASWEDAN PRESIDEN 🇮🇩
#AniesBaswedanLebihNKRI #2024CoblosAniesBaswedan #GueAniesBaswedan #2024AniesBaswedanPresiden #KrisyantoYenOni https://t.co/n70lGz3NQ7",2023-06-09 00:55:32,0,36,retweet,,0,0,KrisyantoOni,1283848995962417152,1666976433493929984,965826910553960448,https://pbs.twimg.com/profile_images/1021264809495445507/ChGrX0wV_normal.jpg,139,552,33,2018-02-20 00:54:14,Ambon,Anies Baswedan,negative
1314,1667032594976997376,https://twitter.com/MrRamdhan37/statuses/1667032594976997376,MrRamdhan37,"RT @tvOneNews: Denny Indrayana Sebut Suharso Monoarfa ""Dipecat"" PPP karena 4 Kali Bertemu Anies Baswedan https://t.co/DupFpBudnm","Denny Indrayana Sebut Suharso Monoarfa ""Dipecat"" PPP karena 4 Kali Bertemu Anies Baswedan https://t.co/DupFpBudnm",2023-06-09 00:55:17,0,215,retweet,,0,0,tvOneNews,55507370,1666981954657587200,1508268847,https://pbs.twimg.com/profile_images/633950067670454272/5PX_BxmR_normal.jpg,8474,222,121,2013-06-11 22:23:26,Bandung Barat,Anies Baswedan,neutral
1315,1667032544641191936,https://twitter.com/utamaprasetya/statuses/1667032544641191936,utamaprasetya,"RT @tvOneNews: Denny Indrayana Sebut Suharso Monoarfa ""Dipecat"" PPP karena 4 Kali Bertemu Anies Baswedan https://t.co/DupFpBudnm","Denny Indrayana Sebut Suharso Monoarfa ""Dipecat"" PPP karena 4 Kali Bertemu Anies Baswedan https://t.co/DupFpBudnm",2023-06-09 00:55:05,0,215,retweet,,0,0,tvOneNews,55507370,1666981954657587200,99262870,https://pbs.twimg.com/profile_images/1526770788648423424/4NmmrpTx_normal.jpg,40191,792,326,2009-12-25 05:41:11,Kota Bogor,Anies Baswedan,neutral
1324,1667031658577666051,https://twitter.com/LaingenLisa/statuses/1667031658577666051,LaingenLisa,"RT @TeddGus: PDIP pun berpendapat sama seperti Partai Garuda. Karena sama sekali tidak mempunyai prestasi, makanya membuat cerita dijegal.…","PDIP pun berpendapat sama seperti Partai Garuda. Karena sama sekali tidak mempunyai prestasi, makanya membuat cerita dijegal. Ini penyakit..

PDIP Bantah Jegal Anies Baswedan, Hasto: Pemimpin yg Tidak Berprestasi Menciptakan Ganjalan Seolah Seperti Ujian https://t.co/3vGo8zv8E8",2023-06-09 00:51:34,0,65,retweet,,0,0,TeddGus,1447610310529982467,1666975403599331328,1978790995,https://pbs.twimg.com/profile_images/1652880388384235521/NgMBAZ9u_normal.jpg,324870,11088,11956,2013-10-21 09:36:28,Kota Bekasi,Anies Baswedan,negative
1346,1667030350185345024,https://twitter.com/sutihatiyah/statuses/1667030350185345024,sutihatiyah,"RT @sutanmangara: Silahkan Comot !
Buat Saudara ku Simpatisan &amp; Relawan Anies.

Saya akan setiap hari membuat Flyer Anies Baswedan. https:/…","Silahkan Comot !
Buat Saudara ku Simpatisan &amp; Relawan Anies.

Saya akan setiap hari membuat Flyer Anies Baswedan. https://t.co/RvbxW97t02",2023-06-09 00:46:22,0,168,retweet,,0,0,sutanmangara,1227719379103571968,1666687490378567680,1390899576777822213,https://pbs.twimg.com/profile_images/1530384364193710081/lIYvArX9_normal.jpg,908,29,13,2021-05-08 01:21:38,Serang,Anies Baswedan,neutral
1352,1667029920600694784,https://twitter.com/bomy_81/statuses/1667029920600694784,bomy_81,"RT @BosPurwa: Ikutan ah..
Anies  Baswedan retweet 🔃
King Purwa Like 👌😅 https://t.co/ChSr4InDHf","Ikutan ah..
Anies  Baswedan retweet 🔃
King Purwa Like 👌😅 https://t.co/ChSr4InDHf",2023-06-09 00:44:39,0,1577,retweet,,0,0,BosPurwa,1068371293290946561,1666428027444826114,134294345,https://pbs.twimg.com/profile_images/1100069239833079808/aoev8HT7_normal.jpg,741,146,91,2010-04-17 21:16:17,Depok,Anies Baswedan,neutral
1354,1667029733731872768,https://twitter.com/jabarnewss/statuses/1667029733731872768,jabarnewss,"PKS Targetkan Anies Baswedan Menang Suara 80 Persen di Jabar
 https://t.co/r6xIc5lRSP","PKS Targetkan Anies Baswedan Menang Suara 80 Persen di Jabar
 https://t.co/r6xIc5lRSP",2023-06-09 00:43:55,0,0,original,,0,0,,0,0,3043903634,https://pbs.twimg.com/profile_images/1576439691607670785/K1f3DBhS_normal.jpg,57714,185,1942,2015-02-26 10:48:16,Bandung Barat,Anies Baswedan,neutral
1356,1667029710252175361,https://twitter.com/DennyVicter/statuses/1667029710252175361,DennyVicter,"RT @BosPurwa: Ikutan ah..
Anies  Baswedan retweet 🔃
King Purwa Like 👌😅 https://t.co/ChSr4InDHf","Ikutan ah..
Anies  Baswedan retweet 🔃
King Purwa Like 👌😅 https://t.co/ChSr4InDHf",2023-06-09 00:43:49,0,1577,retweet,,0,0,BosPurwa,1068371293290946561,1666428027444826114,1386588362,https://pbs.twimg.com/profile_images/904719884289851392/F974QX2L_normal.jpg,3143,178,176,2013-04-28 05:49:47,Kota Bogor,Anies Baswedan,neutral
1359,1667029596263571456,https://twitter.com/Gi_N0ng/statuses/1667029596263571456,Gi_N0ng,"Prof. Effendi Gazali menuturkan
Pak @prabowo Subianto leading

Karena yg tidak suka pada Pak Ganjar Pranowo dia ke Prabowo

Yang tidak suka ke Pak Anies Baswedan dia ke Prabowo

Hanya @KrisyantoOni
Yg TDK suka 22nya demi Anies karena ngebet pengen liat Monas
🤣🤣 https://t.co/VbwEPf6ERc","Prof. Effendi Gazali menuturkan
Pak @prabowo Subianto leading

Karena yg tidak suka pada Pak Ganjar Pranowo dia ke Prabowo

Yang tidak suka ke Pak Anies Baswedan dia ke Prabowo

Hanya @KrisyantoOni
Yg TDK suka 22nya demi Anies karena ngebet pengen liat Monas
🤣🤣 https://t.co/VbwEPf6ERc",2023-06-09 00:43:22,5,2,original,,0,0,,0,0,1266247282506166277,https://pbs.twimg.com/profile_images/1661728408290869248/RI0XOJX0_normal.jpg,90082,3301,4522,2020-05-29 01:57:44,Flores Timur,Anies Baswedan,negative
1371,1667028962709745666,https://twitter.com/rickythong1/statuses/1667028962709745666,rickythong1,"RT @detikcom: Jubir koalisi pendukung Anies Baswedan, Sudirman Said, mengklaim ada pejabat negara bergantian datangi PKS untuk gagalkan Ani…","Jubir koalisi pendukung Anies Baswedan, Sudirman Said, mengklaim ada pejabat negara bergantian datangi PKS untuk gagalkan Anies jadi calon presiden. https://t.co/SqCg9v3Rtk",2023-06-09 00:40:51,0,102,retweet,,0,0,detikcom,69183155,1666447419037368321,479248583,https://pbs.twimg.com/profile_images/1293908744330346496/8sVHif5W_normal.jpg,29936,1823,890,2012-01-31 00:24:55,Jakarta Barat,Anies Baswedan,neutral
1372,1667028761467052032,https://twitter.com/rickythong1/statuses/1667028761467052032,rickythong1,"RT @tvOneNews: Ketua Umum Partai Demokrat, Agus Harimurti Yudhoyono (AHY) sepakat ada pihak-pihak yang ingin melakukan penggembosan bakal c…","Ketua Umum Partai Demokrat, Agus Harimurti Yudhoyono (AHY) sepakat ada pihak-pihak yang ingin melakukan penggembosan bakal calon presiden (Bacapres) Anies Baswedan.

Simak berita selengkapnya hanya di https://t.co/1stmBrP6qQ
#HardNews_Politik #NewsOne #CariBeritaditvOne… https://t.co/8Q7MqUyLum https://t.co/DueA6t7RS0",2023-06-09 00:40:03,0,16,retweet,,0,0,tvOneNews,55507370,1667026634657112064,479248583,https://pbs.twimg.com/profile_images/1293908744330346496/8sVHif5W_normal.jpg,29936,1823,890,2012-01-31 00:24:55,Jakarta Barat,Anies Baswedan,neutral
1390,1667028317583863811,https://twitter.com/rickythong1/statuses/1667028317583863811,rickythong1,"RT @geloraco: Anies Baswedan: Nasdem Ambil Rute Sulit Demi Hadirkan Perubahan
https://t.co/uWzOb6rBAb","Anies Baswedan: Nasdem Ambil Rute Sulit Demi Hadirkan Perubahan
https://t.co/uWzOb6rBAb",2023-06-09 00:38:17,0,31,retweet,,0,0,geloraco,3319260420,1667024088521637890,479248583,https://pbs.twimg.com/profile_images/1293908744330346496/8sVHif5W_normal.jpg,29936,1823,890,2012-01-31 00:24:55,Jakarta Barat,Anies Baswedan,neutral
